Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97,P99
1,24,-0.40047,16.522,0.068712,14.64599005,14.82649337,15.1180446,15.64713938,16.30972149,17.07475991,17.54081584,17.88486374,18.45036332,18.86834903,19.92059544
1,30,-2.8759,16.269,0.075547,14.44070076,14.62534422,14.9263701,15.48295221,16.20392537,17.08356352,17.65514608,18.10105032,18.89370872,19.5426081,21.47091967
1,36,-3.8061,16.112,0.080897,14.25627515,14.44682673,14.76009601,15.34878906,16.13273429,17.12918428,17.80483425,18.34937975,19.35798554,20.2226101,22.94988467
1,42,-3.9956,16.029,0.08714,14.09255942,14.29094608,14.61947896,15.24533968,16.09731227,17.21315793,17.99147432,18.63135306,19.84413606,20.90836872,24.35168474
1,48,-3.8775,16.002,0.094348,13.94939977,14.15770741,14.50477558,15.17329384,16.09882332,17.33702019,18.21666026,18.94847126,20.35310255,21.59989767,25.67051418
1,54,-3.6307,16.025,0.10235,13.82656169,14.04711794,14.4163752,15.13369709,16.13902468,17.50306934,18.48275862,19.30294647,20.88625371,22.29722478,26.89860567
1,60,-3.341,16.094,0.11089,13.7241555,13.95917296,14.35409071,15.1260462,16.21706165,17.7101639,18.78857228,19.69364091,21.44286313,23.00034536,28.04085184
1,66,-3.0512,16.203,0.11971,13.64254468,13.89385976,14.31731403,15.14870769,16.33018037,17.95467994,19.13034971,20.11703082,22.02073045,23.7092244,29.11043691
1,72,-2.7798,16.347,0.12859,13.58209269,13.8511656,14.30543708,15.20004812,16.47562697,18.23299357,19.50433939,20.56959242,22.61765534,24.42382687,30.12054512
1,78,-2.5343,16.521,0.13735,13.543163,13.83107777,14.3178518,15.278434,16.65064757,18.54148085,19.90678979,21.04780195,23.23143742,25.14411776,31.08436069
1,84,-2.2745,16.753,0.14665,13.52403891,13.83403269,14.35843663,15.39377139,16.87188352,18.90216295,20.36060147,21.57325843,23.87576672,25.87073298,31.92235152
1,90,-1.9936,17.055,0.15668,13.52395908,13.86021377,14.42888619,15.55040511,17.14665104,19.3247488,20.87589054,22.15551612,24.55670107,26.60390682,32.59865153
1,96,-1.7304,17.403,0.16662,13.54471998,13.90922875,14.5253166,15.73835986,17.45820862,19.78714614,21.4297288,22.7729841,25.26059184,27.34300184,33.191944
1,102,-1.5095,17.772,0.17575,13.58811811,13.98068535,14.64384398,15.94766034,17.78981471,20.26726276,21.99918803,23.40407147,25.97379043,28.08738057,33.7809122
1,108,-1.346,18.133,0.18351,13.65594996,14.07419132,14.78058447,16.16833125,18.12472779,20.74300639,22.56134002,24.0271873,26.6826482,28.83640556,34.4442394
1,114,-1.2092,18.51,0.19041,13.75081267,14.19468652,14.94431912,16.4161356,18.48683038,21.24495406,23.14801472,24.67289781,27.40990349,29.60108083,35.14293764
1,120,-1.0781,18.922,0.19687,13.87149148,14.34266286,15.13825976,16.69902036,18.88930567,21.79038836,23.77710523,25.35804664,28.16633729,30.38241504,35.82030828
1,126,-0.97311,19.339,0.2024,14.01406503,14.51105614,15.35016873,16.99528621,19.2993631,22.33727547,24.40477806,26.04045901,28.92036498,31.16477768,36.52846863
1,132,-0.91018,19.728,0.20665,14.17461195,14.69280214,15.56780833,17.28323382,19.68421211,22.84358158,24.9871997,26.67796016,29.64040196,31.93253824,37.31953597
1,138,-0.88831,20.095,0.20962,14.36471779,14.89923725,15.8021552,17.57336498,20.05423806,23.32064455,25.53720912,27.28517297,30.34585607,32.71082088,38.24589323
1,144,-0.89071,20.463,0.21167,14.5896059,15.1376868,16.06400573,17.88286367,20.43420699,23.79977626,26.08768015,27.89422532,31.06264734,33.51586188,39.28306702
1,150,-0.90883,20.826,0.21294,14.83581152,15.39507003,16.34085193,18.20005375,20.8128993,24.26890391,26.62483167,28.48919999,31.76895945,34.31869892,40.36789017
1,156,-0.93581,21.179,0.21358,15.08986995,15.65830617,16.62018583,18.51325914,21.17909541,24.71595472,27.13488252,29.05417975,32.44297609,35.09036967,41.43719547
1,162,-0.96548,21.517,0.21374,15.33831644,15.91431444,16.88949943,18.81080373,21.52157572,25.12885588,27.60405155,29.57324735,33.06288092,35.80191181,42.42781573
1,168,-1.0087,21.846,0.2131,15.5913647,16.17257681,17.15710823,19.0990223,21.84476103,25.51146192,28.03735819,30.05337899,33.64164787,36.47358042,43.38962219
1,174,-1.0683,22.171,0.21164,15.85899482,16.44289644,17.43256863,19.38717942,22.15795085,25.87398999,28.4463129,30.50758328,34.19627817,37.12720336,44.36879752
1,180,-1.1276,22.481,0.20988,16.12739167,16.71267441,17.70523401,19.66799371,22.45724375,26.21391124,28.82687107,30.92899167,34.7109965,37.73617746,45.29664171
1,186,-1.1712,22.768,0.20838,16.38274012,16.96931179,17.96445776,19.93418377,22.73873827,26.52869682,29.17498808,31.3107356,35.17002753,38.27389955,46.10445475
1,192,-1.2035,23.032,0.207,16.62853593,17.21599399,18.21292751,20.18758072,23.00340877,26.81897935,29.49168583,31.65455475,35.57736033,38.74707773,46.80941873
1,198,-1.2383,23.283,0.20534,16.87619675,17.46313259,18.45944,20.43419849,23.25447563,27.08684739,29.78030773,31.96612717,35.94602988,39.17768343,47.46820064
1,204,-1.2739,23.518,0.20346,17.12379024,17.70896787,18.70251227,20.67302985,23.49140644,27.331956,30.04029147,32.24449186,36.27382971,39.56200845,48.07132785
1,210,-1.3086,23.737,0.20141,17.36938406,17.95174013,18.94066139,20.90306755,23.71366879,27.55396027,30.2710747,32.48868782,36.55855337,39.89634461,48.60932774
1,216,-1.3409,23.939,0.19925,17.61104587,18.18968966,19.1724044,21.12330435,23.92073027,27.75251526,30.47209511,32.69775407,36.79799438,40.17698371,49.07272766
1,222,-1.37,24.121,0.19701,17.84814965,18.42224591,19.39726002,21.33341362,24.11242122,27.92751891,30.64318526,32.87139745,36.99145916,40.4027436,49.45844783
1,228,-1.397,24.286,0.19465,18.08190741,18.65051223,19.61615765,21.53402672,24.28907754,28.07919481,30.78470909,33.01023468,37.14034795,40.5759647,49.77241974
1,234,-1.4228,24.434,0.19216,18.31314387,18.87523975,19.82973037,21.72557339,24.45092518,28.2076866,30.89690134,33.1146695,37.24559502,40.69822274,50.01868773
1,240,-1.448,24.566,0.1895,18.54268374,19.09717961,20.03861126,21.90848339,24.59819009,28.31313789,30.97999674,33.18510569,37.30813466,40.77109346,50.20129611
2,24,-1.6492,16.251,0.074749,14.38701397,14.56765435,14.86221676,15.40528607,16.09969262,16.91813729,17.42302433,17.79718956,18.40999249,18.85392091,19.83772121
2,30,-2.7196,16.06,0.0808,14.15690947,14.34613165,14.6568357,15.23771636,15.99940336,16.93402183,17.53749185,18.00192647,18.80290493,19.42270111,20.95879678
2,36,-3.1252,15.939,0.087026,13.95303813,14.15232518,14.48153752,15.1043193,15.93762259,16.99122476,17.69299576,18.24604265,19.22876879,20.01584062,22.06714402
2,42,-3.1933,15.875,0.093913,13.77515022,13.9861279,14.33644877,15.00565082,15.91543597,17.09137824,17.89142044,18.53153959,19.6895766,20.63508951,23.16271191
2,48,-3.0925,15.864,0.10151,13.62299602,13.84743276,14.22169604,14.94226687,15.93392918,17.2361144,18.1346503,18.86041877,20.18732088,21.28219786,24.24544945
2,54,-2.9067,15.904,0.1098,13.49623501,13.73611816,14.13751599,14.91506129,15.99480153,17.42795099,18.4255712,19.23573004,20.72501766,21.95981332,25.31544516
2,60,-2.6862,15.992,0.11863,13.39507103,13.65228533,14.08384169,14.92365702,16.09728991,17.66571871,18.76282051,19.65601695,21.30120519,22.66665188,26.37284098
2,66,-2.4616,16.123,0.12772,13.32007094,13.59616152,14.06034435,14.96670371,16.23878626,17.94551912,19.14190985,20.11652148,21.91115938,23.39856615,27.41766606
2,72,-2.2479,16.295,0.13687,13.27180158,13.567974,14.06669517,15.04285099,16.41668254,18.26345376,19.55835084,20.61248561,22.55015609,24.1514087,28.4499495
2,78,-2.0521,16.503,0.14586,13.2508298,13.56795001,14.10256534,15.15074851,16.62837069,18.61562418,20.00765509,21.13915134,23.21347124,24.92103212,29.46972044
2,84,-1.8453,16.771,0.15546,13.25517097,13.59614408,14.17135774,15.29996971,16.89102,19.0269064,20.51811055,21.72625349,23.93017761,25.73255358,30.47538418
2,90,-1.6259,17.107,0.16591,13.28377615,13.65240235,14.27438991,15.49455021,17.21202813,19.50814106,21.10210712,22.38686012,24.71312173,26.59711731,31.46625972
2,96,-1.4242,17.492,0.17626,13.33861572,13.73663952,14.40820505,15.72483294,17.57412964,20.03437669,21.73130929,23.09121298,25.53324006,27.48961651,32.44374679
2,102,-1.2566,17.902,0.18566,13.42166006,13.84877031,14.56934637,15.98116079,17.96005907,20.58066181,22.37738157,23.80955387,26.36146905,28.38494437,33.40924509
2,108,-1.131,18.315,0.19344,13.53487954,13.98870941,14.75435708,16.25387669,18.35255097,21.12204495,23.01198849,24.51212454,27.16874518,29.25799406,34.36415434
2,114,-1.0213,18.769,0.20015,13.6931633,14.17361265,14.98409103,16.57048894,18.78672731,21.69985464,23.67776274,25.24073571,27.99115357,30.13638499,35.30077173
2,120,-0.91331,19.282,0.20633,13.89570067,14.40425495,15.26191986,16.93912917,19.27652169,22.33380533,24.39689828,26.01856659,28.85115114,31.03942725,36.21831437
2,126,-0.82673,19.8,0.21136,14.12091237,14.65597968,15.55816342,17.32107531,19.77288608,22.9665244,25.1104015,26.78791171,29.699232,31.92955006,37.12856189
2,132,-0.77667,20.27,0.21481,14.34721912,14.9041302,15.84314158,17.67760528,20.22677247,23.54063924,25.75927878,27.49106561,30.48589029,32.76918266,38.04329393
2,138,-0.76282,20.71,0.21605,14.60004454,15.17318244,16.13971536,18.02839741,20.65348469,24.06611667,26.35033217,28.13269581,31.21306351,33.55929269,38.96711256
2,144,-0.77016,21.161,0.21545,14.89990471,15.48555946,16.47340454,18.40447948,21.09016564,24.584605,26.92559178,28.75344641,31.91510264,34.32577014,39.89266527
2,150,-0.79129,21.602,0.21398,15.21785898,15.8135253,16.81851708,18.78415364,21.52052587,25.08625387,27.47890614,29.34957684,32.59112203,35.0684277,40.81379984
2,156,-0.8193,22.013,0.21255,15.52496671,16.12934399,17.14936096,19.14572204,21.92827593,25.56121292,28.00412379,29.91734653,33.24023604,35.78707805,41.72436405
2,162,-0.84741,22.374,0.21198,15.79228727,16.40527958,17.44024416,19.4674868,22.29712639,25.99963179,28.49509326,30.4530149,33.86155901,36.48153389,42.61820568
2,168,-0.888,22.677,0.21179,16.03330184,16.65343855,17.70100271,19.75509612,22.62768632,26.39744743,28.94612575,30.95061351,34.45099168,37.15140378,43.51269012
2,174,-0.94261,22.942,0.21135,16.27087366,16.89590234,17.95238011,20.02663268,22.93431823,26.76434708,29.36402654,31.41492475,35.01051507,37.79738705,44.41043967
2,180,-0.98975,23.191,0.21119,16.49013512,17.11989746,18.18504554,20.27905032,23.22136286,27.11110584,29.76138533,31.85833436,35.54836395,38.42093257,45.28318748
2,186,-1.0101,23.444,0.21185,16.67621863,17.31265039,18.38966815,20.50930288,23.49316096,27.44849881,30.15079182,32.29322807,36.07277307,39.02348921,46.10266669
2,192,-1.0104,23.696,0.21316,16.8329231,17.47742697,18.56863779,20.71818222,23.74862765,27.77380633,30.52906263,32.71646921,36.58164182,39.60465469,46.87590759
2,198,-1.0079,23.93,0.21463,16.97254126,17.6247886,18.72966982,20.90820893,23.98417897,28.07812836,30.88579894,33.11782765,37.06816889,40.16323199,47.62625028
2,204,-1.0006,24.146,0.21635,17.09294627,17.75290514,18.87142167,21.07892997,24.200407,28.3629694,31.22276729,33.49904903,37.53353798,40.69947788,48.34989264
2,210,-0.98665,24.349,0.2184,17.19201129,17.85994644,18.99255076,21.22989231,24.39790382,28.62983396,31.54173421,33.86187894,37.97893282,41.21364914,49.04303253
2,216,-0.96451,24.538,0.22086,17.26760948,17.94408234,19.0917145,21.3606429,24.57726152,28.88022653,31.84446624,34.208063,38.40553712,41.70600253,49.70186783
2,222,-0.93371,24.717,0.22376,17.31917417,18.00484058,19.16859517,21.47114354,24.73876374,29.11469528,32.1315687,34.53817358,38.8136852,42.17651874,50.32489765
2,228,-0.89603,24.885,0.22704,17.34813403,18.04346238,19.22412546,21.56176217,24.88210986,29.33234325,32.40195883,34.85112087,39.2025964,42.62495729,50.91429805
2,234,-0.85277,25.039,0.23067,17.35535524,18.0606878,19.25883841,21.63265493,25.00701554,29.53250722,32.65487107,35.14615719,39.57178201,43.05124316,51.47178229
2,240,-0.80505,25.181,0.23462,17.34170399,18.05725693,19.27326704,21.683978,25.11319644,29.71452398,32.88953988,35.42253488,39.9207533,43.45530138,51.99906362